,price,locali,superficie,bagni,piano
339,178000,2,69.0,1,3.0
340,350000,4,103.0,2,5.0
341,169000,3,75.0,1,1.0
342,565000,4,120.0,2,7.0
343,219000,4,120.0,1,0.5
344,397000,3,117.0,1,2.0
345,635000,5,165.0,2,9.0
346,285000,4,100.0,1,3.0
347,695000,4,101.0,2,5.0
348,630000,5,144.0,2,2.0
349,215000,3,85.0,2,5.0
350,495000,4,116.0,2,0.0
351,570000,4,125.0,2,2.0
352,550000,3,116.0,2,2.0
353,390000,4,130.0,2,3.0
354,1300000,5,303.0,3,3.0
355,148000,1,33.0,1,2.0
356,205000,2,66.0,1,-1.0
357,695000,4,163.0,2,5.0
358,530000,3,123.0,2,1.0
359,398000,4,137.0,2,3.0
360,495000,3,79.0,2,3.0
361,325000,3,80.0,1,4.0
362,975000,5,198.0,3,0.0
363,175000,1,59.0,1,2.0
364,465000,4,140.0,1,2.0
365,550000,5,145.0,2,2.0
366,1250000,5,200.0,3,4.0
367,198000,3,80.0,2,4.0
368,778000,5,217.0,3,4.0
369,260000,3,88.0,1,1.0
370,498000,5,150.0,2,2.0
371,335000,3,109.0,1,0.0
372,189000,2,50.0,1,5.0
373,155000,2,50.0,1,1.0
374,1690000,5,227.0,3,3.0
375,425000,2,65.0,1,2.0
376,270000,3,90.0,2,1.0
377,790000,5,250.0,3,2.0
378,180000,2,65.0,1,1.0
379,420000,3,134.0,2,1.0
380,460000,4,135.0,2,2.0
381,480000,5,120.0,2,2.0
382,699000,5,160.0,2,1.0
383,300000,2,56.0,1,1.0
384,650000,5,130.0,2,2.0
385,155000,2,63.0,1,0.0
386,460000,4,110.0,2,6.0
387,410000,2,98.0,2,0.0
388,195000,1,38.0,1,1.0
389,195000,3,69.0,1,1.0
390,179000,2,71.0,1,1.0
391,430000,2,65.0,1,4.0
392,365000,3,80.0,1,3.0
393,245000,3,79.0,2,1.0
394,195000,2,74.0,1,4.0
395,133000,2,42.0,1,1.0
396,148000,2,53.0,1,1.0
397,123000,1,37.0,1,1.0
398,287000,3,80.0,2,2.0
399,113000,1,37.0,1,1.0
400,179000,3,80.0,2,1.0
401,310000,3,100.0,2,0.5
402,728000,5,157.0,3,3.0
403,549000,5,170.0,2,3.0
404,179000,4,90.0,2,0.0
405,1090000,5,200.0,3,1.0
406,205000,2,60.0,1,1.0
407,145000,2,35.0,1,1.0
408,210000,4,116.0,2,0.5
409,980000,5,300.0,3,3.0
410,870000,3,88.0,1,4.0
411,181000,2,54.0,1,1.0
412,148000,2,39.0,1,1.0
413,1020000,5,247.0,2,0.0
414,1500000,5,150.0,3,3.0
415,429000,4,108.0,2,3.0
416,1450000,5,300.0,3,5.0
417,238000,3,67.0,2,1.0
418,260000,3,127.0,2,1.0
419,1290000,5,220.0,3,4.0
420,1660000,5,194.0,3,4.0
421,649000,2,70.0,1,4.0
422,269000,3,110.0,1,3.0
423,249000,3,140.0,2,1.0
424,349000,3,130.0,2,0.0
425,1290000,5,200.0,3,4.0
426,119000,1,39.0,1,5.0
427,980000,5,200.0,3,2.0
428,199000,2,50.0,1,0.0
429,630000,5,167.0,2,3.0
430,465000,5,127.0,2,1.0
431,249000,3,100.0,2,1.0
432,175000,3,75.0,2,1.0
433,890000,4,155.0,2,1.0
434,360000,5,171.0,2,3.0
435,205000,2,50.0,1,0.0
436,165000,2,45.0,1,0.0
437,152000,2,45.0,1,1.0
438,179000,3,80.0,2,1.0
439,215000,3,92.0,1,2.0
440,249000,4,115.0,2,2.0
441,79000,2,50.0,1,0.0
442,139000,2,60.0,1,0.5
443,189000,3,95.0,1,1.0
444,760000,5,165.0,3,1.0
445,380000,5,100.0,2,5.0
446,159000,3,80.0,1,4.0
447,270000,4,115.0,2,6.0
448,395000,5,120.0,2,0.0
449,395000,5,146.0,3,1.0
450,289000,2,60.0,1,0.0
451,850000,5,287.0,3,3.0
452,235000,4,116.0,1,1.0
453,205000,3,90.0,1,0.5
454,400000,5,145.0,2,1.0
455,380000,4,150.0,2,0.0
456,85000,2,45.0,1,2.0
457,179000,3,81.0,1,3.0
458,400000,4,120.0,1,2.0
459,550000,5,170.0,2,2.0
460,460000,3,106.0,2,0.0
461,209000,3,90.0,1,2.0
462,490000,4,140.0,2,3.0
463,259000,4,108.0,1,5.0
464,169000,2,63.0,1,2.0
465,255000,3,95.0,2,2.0
466,310000,4,90.0,3,1.0
467,239000,3,93.0,1,2.0
468,198000,3,89.0,1,3.0
469,955000,4,113.0,2,1.0
470,259000,4,136.0,1,1.0
471,540000,4,150.0,2,0.5
472,1070000,5,200.0,2,3.0
473,495000,5,150.0,1,1.0
474,180000,2,65.0,1,4.0
475,1090000,5,197.0,2,4.0
476,570000,4,140.0,2,2.0
477,210000,3,65.0,1,1.0
478,745000,4,155.0,2,4.0
479,500,2,58.0,1,2.0
480,145000,2,55.0,1,0.0
